"username","date_of_birth","city_origin"
"tweezygum","1984-09-19","Bekasi"
"biem_bien","1999-04-28","Bandung"
"farhanazhari05","1978-04-28","Bandung"
"Lisa-7563","2007-05-22","Jakarta"
"msnovarina","1976-09-28","Depok"
"ephenys","1983-11-16","Yogyakarta"
"rajasiuaji","2005-07-25","Bogor"
"BenjaminPopkin","2001-12-13","Yogyakarta"
"Mikey-325","1999-11-11","Denpasar"
"snifted","1973-03-08","Jakarta"
"danteasdale458","1988-12-23","Tangerang"
"metndaselurrr","1990-04-03","Bogor"
"leniariani","1990-04-05","Bogor"
"Gezzerboy","1970-12-07","Depok"
"zara_nabila","1993-03-07","Tangerang"
"stephenlovelette","1986-03-26","Makassar"
"blackranchu","1996-07-11","Yogyakarta"
"fayreview","1984-06-26","Jakarta"
"jo-185-56717","1993-02-07","Surabaya"
"NatasyaF-5","1986-12-07","Palembang"
"king_vsjn","1985-08-16","Solo"
"dpbertrand-126-427929","1994-07-19","Bekasi"
"ayu_lani","1998-07-24","Makassar"
"woodslucy","1988-08-04","Palembang"
"bangone","1980-01-18","Semarang"
"lontongbalapoishi","2000-03-19","Yogyakarta"
"imelorm","2000-02-15","Tangerang"
"Hackser","1990-06-01","Malang"
"k_yohanes","1986-08-10","Bandung"
"andienPrabasutedja","1999-02-14","Jakarta"
"fuad-94277","1977-01-14","Jakarta"
"kysta","1990-01-17","Tangerang"
"gsvasu2006","1979-12-08","Pekanbaru"
"ndarvianp","1998-06-02","Medan"
"scorpin_men","1975-12-09","Malang"
"zanzalaw","1981-08-03","Padang"
"cumananya","1978-12-21","Jakarta"
"gerald-25105","1984-07-24","Bogor"
"adnandikriramadhan","1982-07-22","Medan"
"julesdil","1982-04-14","Pekanbaru"
"maclock","1997-05-06","Bandung"
"aryanarif","1976-05-15","Malang"
"BA_Harrison","1990-08-08","Bandung"
"joebloggscity","1973-04-18","Bandung"
"fvhimawan","2000-10-19","Malang"
"ihsanazam","2000-02-14","Malang"
"Kingmaker_6","2002-05-24","Jakarta"
"arifradyo3","1982-07-11","Tangerang"
"boydpeters","1988-02-28","Depok"
"jpenera","1987-07-24","Batam"
"agathaachelsee","1979-10-13","Makassar"
"birumudabiru","1974-03-06","Malang"
"stchmrh","1985-05-20","Bandung"
"cmaharani-41976","1976-05-14","Tangerang"
"satanic_art","1975-04-17","Semarang"
"WilliamMortensenVaughan","1994-10-17","Yogyakarta"
"RizkyP-906","1988-05-15","Padang"
"reynardusrafael","1994-08-14","Pekanbaru"
"klontenkoker","1992-01-21","Bandung"
"griyafoto","1987-02-10","Yogyakarta"
"luminairateic","1985-03-23","Jakarta"
"nabilapaiman","2000-04-04","Medan"
"deasterling","1974-07-27","Bogor"
"LocaineT","1980-01-16","Jakarta"
"Shpongle_enjoyer","1992-03-07","Makassar"
"bumibomber","1994-08-22","Bekasi"
"wellthatswhatithinkanyway","1977-02-05","Bandung"
"ranggadwiputra-07004","2001-10-18","Medan"
"purasunyiaji","1996-05-05","Bogor"
"noahhazard","1981-03-19","Palembang"
"imseeg","1988-12-20","Palembang"
"driverpabu","1996-02-25","Jakarta"
"zaennuriluthfi","1981-05-15","Tangerang"
"arisp_cn","1986-02-01","Jakarta"
"aldybeatbox21","1988-12-16","Jakarta"
"denmas_anjar","1982-12-01","Makassar"
"dburtless","1989-09-26","Tangerang"
"ilzesilina","1979-06-15","Malang"
"fernallfn","1977-11-20","Surabaya"
"moviexclusive","1989-09-01","Bekasi"
"Walter_Iego","1986-04-17","Depok"
"vrffhcn","1979-01-13","Padang"
"babyjaguar","1977-10-20","Tangerang"
"ErisaF","1983-10-21","Yogyakarta"
"ayyubhebat","1979-09-16","Bekasi"
"jahbless-82210","1983-01-07","Surabaya"
"muthiaesfand","1983-02-05","Jakarta"
"Exothyc","1996-06-17","Tangerang"
"ivanthg","1983-03-21","Jakarta"
"rakhawikramayasa","1980-01-21","Bekasi"
"Austinfung","1999-07-03","Padang"
"coanks","1974-09-13","Surabaya"
"zedstst","1991-11-11","Jakarta"
"whatgift","1999-04-07","Palembang"
"cynthiafebrianikairupan","1991-09-03","Bandung"
"benedict-setyawan","1990-11-27","Palembang"
"HorrorDisasterGuy-90617","1990-10-25","Jakarta"
"shelliiaae","2004-01-07","Yogyakarta"
"exralvioleegia","1991-10-23","Bogor"
"freedomtotalk-08041","1976-10-03","Denpasar"
"Ryan_MYeah","1990-06-24","Jakarta"
"SstrykerR","1980-12-11","Surabaya"
"pretentiousmoviemaster","1983-02-04","Jakarta"
"generationofswine","1997-11-21","Bandung"
"ethanbresnett","1998-08-08","Pekanbaru"
"eurom44","1988-08-27","Makassar"
"jamellbest","1998-08-14","Makassar"
"hamzaa-756","1981-03-06","Yogyakarta"
"Maulandra","1984-08-14","Surabaya"
"junowijaya","1976-11-27","Bandung"
"Feople","2002-05-06","Bogor"
"luckyj-508","1998-03-26","Bekasi"
"lemonmishal","1992-03-22","Makassar"
"helenaprinc","1988-06-22","Solo"
"Andrew_Wiper","1982-02-17","Tangerang"
"ayayamamoto-43666","1994-11-09","Jakarta"
"atikainu","1999-07-15","Bandung"
"vishvishal-92768","2003-03-14","Jakarta"
"empireofred","1979-08-07","Bandung"
"rijalathoillah","1982-02-15","Medan"
"charissap-5","1980-10-16","Solo"
"SquigglyCrunch","1988-09-10","Semarang"
"gkbk","1993-08-03","Surabaya"
"gibarizt","2006-04-24","Jakarta"
"TiwaNefar","1991-09-08","Bandung"
"annisas-39","1990-08-01","Pekanbaru"
"Shayan_khan_","1991-06-19","Bandung"
"gacorplsss","1980-07-13","Medan"
"mohammed-jaffer1","1992-03-26","Solo"
"rasull-ramad","1998-03-16","Bandung"
"ara_manik","2000-04-17","Bandung"
"verreennss","1996-10-24","Medan"
"patrick-upstagington","1987-03-15","Tangerang"
"dylanstaxes","1995-10-09","Jakarta"
"abusamara","1998-06-18","Jakarta"
"Victor-Muchichwa","1994-09-04","Medan"
"da_jesper","2000-11-11","Bekasi"
"syaril-99019","1998-09-17","Tangerang"
"emprisupriatna-62075","1979-11-08","Surabaya"
"sn319","1992-08-15","Bandung"
"pdqpaul","1991-12-10","Bandung"
"moviegeektimothy","1992-01-07","Bandung"
"united_soksek","1991-04-27","Bandung"
"eventlaunch","1985-02-26","Semarang"
"reidsmailbox","1984-02-09","Jakarta"
"rdamanbmi","1981-10-08","Yogyakarta"
"hiapakabarsehat","1978-04-08","Padang"
"cborzikowsky","1992-11-01","Jakarta"
"Gordon-11","1994-01-15","Yogyakarta"
"criminaltoyz","1998-03-06","Malang"
"tuomas_86","1982-03-20","Surabaya"
"ricky_kwokever","1995-09-22","Bekasi"
"chand-suhas","2002-11-25","Bogor"
"albertjohannesberg","1993-06-24","Bandung"
"yatinprsd86","2000-08-03","Semarang"
"punyfebbryan","1986-07-01","Surabaya"
"jojonusa","1994-08-25","Denpasar"
"matikolaei","1999-09-13","Pekanbaru"
"masirvanku","1996-03-14","Tangerang"
"DogePelis2015","1978-03-12","Solo"
"abydict","2005-02-08","Jakarta"
"EdlynA-0","2001-02-09","Jakarta"
"jit-23697","2004-01-21","Tangerang"
"bgryosi","1993-10-07","Bogor"
"gandhiperdana","1999-09-05","Bandung"
"surfisfun","1982-11-12","Jakarta"
"fh147","2000-07-25","Bandung"
"handitj","1991-08-10","Semarang"
"philippakoh","1991-08-22","Makassar"
"floberries","1996-02-14","Tangerang"
"tapakibuyutmangun","1985-09-17","Bekasi"
"philharmonicdreamer","1981-02-06","Denpasar"
"adamberrien","1992-04-11","Bekasi"
"yanuaremedia","1989-02-17","Makassar"
"caturdewata","1992-11-14","Jakarta"
"aji_gps","1983-12-26","Semarang"
"francoc-04","1975-02-06","Surabaya"
"antoniusbudianto","1984-08-10","Jakarta"
"elinewhouse4","1980-07-19","Medan"
"cibenninja","1981-07-14","Jakarta"
"xiaoshan-09755","1983-01-10","Bandung"
"theroommatereview","1990-09-25","Solo"
"lee_changyin","1980-06-04","Bandung"
"DICK STEEL","1968-03-13","Balikpapan"
"azrakoroglu","1989-07-05","Jakarta"
"cspeng","1997-10-10","Padang"
"dvc5159","1978-09-13","Pekanbaru"
"freakyoda","1998-09-05","Makassar"
"adiantanugraha","1982-02-10","Malang"
"freshclean-66-318608","1983-09-09","Depok"
"ryanhadi","2002-02-13","Medan"
"hardcoredemand","2004-02-10","Tangerang"
"NaN-905","1982-02-06","Medan"
"sihyun-69032","1989-09-13","Malang"
"anneeessy","1981-01-10","Bogor"
"mazisramadhan","1984-12-13","Pekanbaru"
"ahmadhidayat-58945","2000-01-15","Tangerang"
"hasnarb","1987-05-12","Batam"
"friddenelgar","1994-07-07","Bandung"
"faer_kr","1985-11-04","Tangerang"
"sammybuzz-45443","1976-02-08","Tangerang"
"h-herlambang","1986-06-13","Bandung"
"cangmuters","1997-04-24","Depok"
"arifahschool","1990-02-10","Jakarta"
"capone666","1990-11-16","Solo"
"2Yung4This","1997-02-13","Semarang"
"bluestemz","1980-07-21","Jakarta"
"satriyobpadhi","1994-04-03","Surabaya"
"ahmzuhdi","1991-05-14","Palembang"
"viralqq","1988-03-01","Bogor"
"fi_ka","1997-03-24","Bandung"
"jonahstewartvaughan","1989-09-12","Jakarta"
"castledor","1975-09-22","Yogyakarta"
"Musicianmagic","1978-02-10","Pekanbaru"
"fachrial-ilham","1991-05-20","Bandung"
"sergelamarche","1977-11-12","Solo"
"stertheo","1986-10-01","Surabaya"
"Brian2359","1981-07-21","Bekasi"
"wheatley-20230","1990-01-01","Jakarta"
"densussiregar","1982-09-17","Yogyakarta"
"ladybugforever-77992","1976-03-14","Bekasi"
"myanuar-82262","1994-05-28","Jakarta"
"budimanalbert","1995-04-07","Jakarta"
"Abc-kal","1984-03-01","Bekasi"
"Misss25","1994-06-19","Padang"
"robsno11","1985-02-09","Padang"
"RidoG-5","1998-11-27","Medan"
"jlnsyah","1989-06-18","Bandung"
"skullzero","1973-03-19","Pekanbaru"
"yoke-pri","1996-03-01","Padang"
"MarioL-666","2005-02-17","Malang"
"oktochristian","1989-05-05","Bandung"
"Otte1","1977-01-19","Malang"
"andreas1412","1998-03-11","Padang"
"adamscastlevania2","1994-11-28","Batam"
"nairabh","1997-03-09","Bekasi"
"jfriedel-24341","1983-03-12","Denpasar"
"ronisutrisno","1997-10-10","Malang"
"AlA-69","2007-04-22","Jakarta"
"Vania-490","1992-09-28","Medan"
"daffasakhiyputera","1993-12-28","Palembang"
"fitrakurnia-13641","1982-12-01","Palembang"
"harijohan","2004-12-17","Malang"
"systemnotfound","1971-02-22","Tangerang"
"mahindramaulana","1996-08-20","Jakarta"
"kheu_2","1976-06-21","Depok"
"yudiputra-25903","1993-11-22","Bandung"
"mendurdanielcristofer","1982-05-27","Surabaya"
"Gizellya","1980-03-11","Bekasi"
"subxerogravity","1997-03-11","Jakarta"
"fredydwi-65971","1986-07-16","Bekasi"
"ddmareo","1985-10-15","Tangerang"
"zenmuhammad","1992-01-09","Bandung"
"NaylaQ-8","1980-10-02","Depok"
"bayuvevo-64314","1993-10-25","Bekasi"
"Regina3","2003-07-24","Pekanbaru"
"jasminehsarah","1976-06-25","Balikpapan"
"shahnizamdoming-47630","1992-09-02","Bandung"
"milanmilovanoviceu","2004-03-01","Semarang"
"azkarosady","2001-11-13","Bekasi"
"tejanoblue","1985-07-04","Tangerang"
"CaffeineJunky","2007-10-10","Pekanbaru"
"tthelegend-64137","1980-09-13","Malang"
"m_winship","1978-03-13","Jakarta"
"educallejero","1995-09-18","Semarang"
"cocolacausa","1986-06-25","Surabaya"
"farizalafif","1996-01-13","Jakarta"
"robertlenz-21920","1981-07-02","Jakarta"
"ThunderKing6","1995-02-08","Jakarta"
"centinel-94711","1993-08-13","Denpasar"
"dallasryan","1979-04-05","Semarang"
"blogurious","1981-10-03","Jakarta"
"banknaskahfoltrus","1981-09-09","Jakarta"
"ronnievanrijswijk","1984-07-18","Jakarta"
"jmigoya","1983-08-22","Semarang"
"imyxqpixmy","2002-05-02","Palembang"
"tcraut","1975-01-07","Pekanbaru"
"iamdjksm","1986-09-21","Bandung"
"Pjtaylor-96-138044","1980-09-13","Bogor"
"hasanxenith","1987-06-18","Balikpapan"
"yonmaslon","2000-02-07","Jakarta"
"capitkepiting","1974-03-23","Pekanbaru"
"nvivek1993","1969-09-03","Surabaya"
"gilangsofi","2004-12-05","Bandung"
"messagemelissahargis","1984-12-13","Depok"
"fujitora-75077","1978-07-10","Bandung"
"anggitoktafiania","1993-06-28","Surabaya"
"andrewharjono","1981-03-11","Jakarta"
"AndreasHardcastle","1998-11-11","Padang"
"armin-durakovic","1978-06-28","Depok"
"h_rbt_w","1995-04-22","Pekanbaru"
"fredjohnson55343","1978-07-06","Denpasar"
"ferdy-feisal","1993-07-19","Denpasar"
"drhanzochan","1982-07-18","Tangerang"
"irawanscrofas","1994-02-23","Bogor"
"SameirAli","1992-03-04","Jakarta"
"KassandraAlexios","1979-03-16","Bandung"
"GryeD","2002-01-18","Pekanbaru"
"stevemantiri","1992-10-08","Bekasi"
"conejito_andarin","1981-10-11","Bandung"
"atinder","1989-03-11","Semarang"
"mario_c","1989-08-05","Jakarta"
"tsumiretoshimitsu","1984-01-08","Balikpapan"
"lucianaburimanto","1978-09-10","Balikpapan"
"lojitsu","1973-01-12","Surabaya"
"davidyodo","1999-09-21","Balikpapan"
"canisthya","2001-09-01","Surabaya"
"cakecum","1999-12-22","Depok"
"SalyM-4","1988-07-03","Jakarta"
"dansmikael","1989-06-21","Yogyakarta"
"iganboas","1986-01-28","Jakarta"
"AlfaR-67","1986-11-22","Bandung"
"manuelasaez","1979-07-27","Medan"
"chandrakops","2003-08-23","Bekasi"
"donb-519-335075","1976-02-08","Pekanbaru"
"maxvictorinov","1995-11-25","Jakarta"
"tndewandono","2000-02-01","Jakarta"
"taoufanis","1998-11-05","Jakarta"
"AmitK-3481","1993-12-12","Semarang"
"davidr-763","2000-09-23","Bekasi"
"znzauri","1998-07-20","Bandung"
"rendesqa","1973-06-03","Yogyakarta"
"gedalyab-25682","1992-01-17","Denpasar"
"arkaanson","1988-03-11","Tangerang"
"lukeps","1976-03-14","Pekanbaru"
"engrasiajovita","1982-01-08","Jakarta"
"starg-839","1993-05-23","Makassar"
"ManoharM-06","1988-09-13","Bekasi"
"hentogames","1986-08-28","Pekanbaru"
"haritsdzaky","1990-03-11","Tangerang"
"k_aguilar1337","1988-12-13","Bandung"
"androzed","1980-02-06","Medan"
"aloshious","1975-06-06","Makassar"
"yosephmanuel","1982-03-05","Medan"
"wallancengeowgreenlemon","1982-01-02","Palembang"
"aronharde","1981-07-26","Tangerang"
"dark_ninja514","1985-07-21","Padang"
"lasttimeisaw","1988-04-11","Bogor"
"restyastari-49610","1984-08-20","Bandung"
"nananys","1999-09-21","Jakarta"
"meowdivh","1986-10-27","Surabaya"
"dimorahon","1990-08-12","Semarang"
"adiar-71222","1989-11-25","Jakarta"
"ranleehow","1974-06-14","Bogor"
"justdyass","1993-03-03","Bandung"
"luvgonzo","1978-10-24","Tangerang"
"andhihartono","1997-06-18","Jakarta"
"johnspringer-95440","2004-07-04","Medan"
"hannah-mae91","1979-07-14","Tangerang"
"diegomdelam","1996-12-28","Semarang"
"paulclaassen","1974-07-05","Surabaya"
"alonevheby","1993-03-13","Makassar"
"ttreakle","1983-11-16","Tangerang"
"dchen-79042","1997-06-05","Jakarta"
"zainularif-70630","1992-10-01","Jakarta"
"Dragon_Eye_Morrison","1985-09-28","Surabaya"
"temmyhadinatawiranegara","1982-06-27","Batam"
"borgolarici","1996-10-11","Jakarta"
"PutriNurjanna","1975-11-22","Jakarta"
"IlhamH-1","2000-11-20","Palembang"
"sari_elina","1987-08-28","Tangerang"
"Fanboy218","1996-12-26","Makassar"
"anantkumaresh","1998-01-28","Tangerang"
"JohnTequila","1975-07-10","Makassar"
"EndruS-2","1981-08-22","Medan"
"adidrivedrum","1989-04-16","Surabaya"
"rainbowduniabayi","1975-10-21","Depok"
"arinugroho-43560","1987-05-24","Jakarta"
"maryadiana-53472","1998-12-10","Jakarta"
"caphie18","1997-02-06","Malang"
"jemimafox","1980-11-15","Semarang"
"karismaputrime","1977-01-20","Yogyakarta"
"saitamaneolast","1995-06-25","Medan"
"demodelmgnt","1997-09-28","Makassar"
"sirinotsiriyingrn","1987-05-20","Denpasar"
"selly_strawberry","1995-04-15","Jakarta"
"lilikolozsi","1976-07-14","Yogyakarta"
"kdavies-69347","1976-07-01","Surabaya"
"cat_ranchero","1982-12-02","Padang"
"HarryG-578","2006-03-06","Solo"
"peter07","1977-10-16","Padang"
"bcdean","1994-11-21","Jakarta"
"Bryan_Roderick","1971-01-09","Jakarta"
"rick_great","1991-04-28","Bogor"
"ferryvisual","1977-10-02","Pekanbaru"
"seventhkeys","2001-06-12","Tangerang"
"sweet_vie","1991-04-12","Padang"
"nawfaldaffa-11516","2003-06-22","Medan"
"tchitouniaram","1996-11-16","Bandung"
"yovanismaya","1986-07-05","Tangerang"
"js-83499","2007-04-24","Surabaya"
"nandi_r_noor","1999-06-21","Balikpapan"
"ryanwhibberd","2002-05-18","Solo"
"FeastMode","1993-06-21","Jakarta"
"erryramdhani","1994-01-28","Tangerang"
"hymwkfch","1994-08-12","Semarang"
"Orang-62","1991-02-04","Bandung"
"imdbfan-0231025682","1988-09-23","Jakarta"
"kluseba","1989-05-08","Malang"
"Haider-kazmee","1970-11-02","Semarang"
"shivkantsg","1981-09-26","Semarang"
"rudihermawanhajimugeni","2000-09-02","Semarang"
"ikari1","1986-06-04","Batam"
"adhil-67126","1980-11-26","Surabaya"
"vinaa-39","1981-01-22","Bandung"
"cerdassihombing","1990-09-06","Palembang"
"rhositadewi","1997-03-11","Jakarta"
"winzagaz","1994-08-10","Bandung"
"onmyway9","1978-10-25","Medan"
"reubenwork","1986-05-11","Palembang"
"rebecca-ry","1989-12-14","Padang"
"raphaelpauli","1995-01-05","Jakarta"
"kemkomacar","2001-07-10","Semarang"
"dimisea","2006-03-28","Bandung"
"desarasloungeclub","2002-09-18","Depok"
"chandrandre","1979-01-20","Makassar"
"aleeuwendal","1997-07-10","Balikpapan"
"ignasmadyasurya","1995-05-22","Yogyakarta"
"rovallgio","1990-01-05","Makassar"
"leasmith-25365","1996-05-04","Jakarta"
"abloe","1990-08-14","Palembang"
"SkyB-09","1982-07-13","Padang"
"jbathie","1998-02-19","Bogor"
"jinojiwantenggara","1986-12-20","Malang"
"Sammy-279","1990-05-01","Semarang"
"anurhaliza","1998-01-15","Surabaya"
"lathe-of-heaven","1990-10-11","Surabaya"
"msilavi","1998-06-24","Jakarta"
"aldysalim","2005-12-23","Padang"
"cymjqqtqk","1983-04-11","Batam"
"J-odishaw","2000-08-02","Pekanbaru"
"iniadalahemailpenyelamat","1978-08-16","Padang"
"elder-81604","1988-09-12","Bandung"
"kojak-53083","2002-09-15","Jakarta"
"erickfrds","1983-09-27","Balikpapan"
"ekariady","1984-03-15","Balikpapan"
"mohammadirfan274","1973-12-23","Padang"
"ratureazyana","2003-01-21","Malang"
"edlynaishamaharani","1996-10-19","Makassar"
"belowglide","1996-12-11","Balikpapan"
"SalviaA","1981-05-18","Jakarta"
"diwidyc","1992-10-07","Yogyakarta"
"agungtawakkal","1975-04-08","Makassar"
"Jeremy_Urquhart","1998-10-14","Palembang"
"chndr_a","1975-03-06","Solo"
"kalillaa32","1987-10-20","Bandung"
"lile-85","1991-11-05","Tangerang"
"KZ_","1992-12-07","Medan"
"kajzergagi","1984-08-05","Tangerang"
"panjipamunqas","1990-02-28","Makassar"
"suhelmiheryanto","1986-02-28","Bekasi"
"royshaelendra","1980-11-17","Jakarta"
"wandereramor","1980-05-24","Depok"
"kikiwulanjari","1980-12-26","Denpasar"
"hanz_lcfr","1987-01-17","Palembang"
"friskasesillia","1992-02-11","Bekasi"
"frank-loeschner","1988-01-23","Jakarta"
"lie_charles","1993-11-01","Depok"
"lanhhoang","1976-04-16","Bandung"
"parkmanjohn","1997-10-12","Palembang"
"dhimaswirawan-17234","1988-03-07","Padang"
"donadharmanda21","1984-11-14","Batam"
"ngapocak","1982-08-08","Surabaya"
"MUFCOK","1972-08-15","Bandung"
"micochanalmonte","1993-02-07","Surabaya"
"Snootz","1983-06-12","Solo"
"shadowfightarenaskuy","1985-03-02","Bekasi"
"spiral-48","1980-01-12","Depok"
"janfrankowski","2001-12-05","Medan"
"fluffset","1973-07-19","Depok"
"Condemned-Soul","1976-02-08","Malang"
"lihatjalanan","2003-09-19","Padang"
"charisaa","1998-06-24","Surabaya"
"mahdesi-137-675165","1997-02-11","Solo"
"sparkling_pee","2005-09-20","Jakarta"
"kusumaraj-06990","1999-02-12","Bandung"
"towers-36285","1996-09-06","Pekanbaru"
"watcheda","1987-07-28","Surabaya"
"donnyyuliansyah","2000-08-13","Jakarta"
"peter0969","1984-12-25","Surabaya"
"sky_sam","2005-07-09","Depok"
"aizabm","1996-11-02","Jakarta"
"yudgian-darian","1998-02-24","Pekanbaru"
"az_gate","1997-03-10","Jakarta"
"KaniW-6","1983-05-21","Makassar"
"amiana-52146","1988-01-22","Semarang"
"bong-8","1991-02-10","Palembang"
"dannybruijnaers","1967-07-09","Jakarta"
"meddlecore","1983-03-16","Surabaya"
"destatop","1982-11-15","Batam"
"jorelmuhamad","1990-11-23","Bogor"
"kusanai","1990-10-26","Palembang"
"mramadhina","1982-08-05","Surabaya"
"bangdayshop","1997-12-12","Jakarta"
"wulangdanendra","1989-03-05","Solo"
"rofiffaiz","1981-08-26","Tangerang"
"jmediac","1994-02-12","Surabaya"
"pandalicious-10207","1976-04-25","Tangerang"
"astridirawati2002","1986-05-26","Jakarta"
"rahuldeep-37247","1983-11-17","Semarang"
"kucingoren-71375","1997-05-10","Jakarta"
"shinronald","2000-05-23","Malang"
"mariaas-007","1999-07-28","Jakarta"
"Equanimity9121","1979-12-11","Semarang"
"tuffymusk","2002-10-12","Semarang"
"dan-1315","1978-10-16","Bandung"
"TheMovieSnob247","1981-01-25","Padang"
"pacific_turmawan","1985-07-10","Jakarta"
"StevePulaski","1985-09-15","Bekasi"
"FattyBoomBatty","1979-12-16","Jakarta"
"rickycode","1997-10-11","Depok"
"vmy2009","1990-03-06","Medan"
"fitri-64689","1997-04-10","Bandung"
"putriroroamelia","1996-04-04","Bekasi"
"therebongex","1979-01-05","Padang"
"Yamadellob","1982-12-10","Padang"
"ML-226","1980-03-04","Bandung"
"djkoz78","1984-09-21","Palembang"
"pearl_crestfall","1986-02-20","Denpasar"
"mjscarface","1972-08-18","Jakarta"
"reysia","1969-04-05","Jakarta"
"Patient444","1977-03-16","Bekasi"
"yassanderson","1997-03-22","Yogyakarta"
"Reaper_Cloud","1980-02-06","Batam"
"gustrinatasa","2001-12-14","Depok"
"prasansatsangi","1982-12-27","Depok"
"kindredparadox","2004-04-15","Palembang"
"oktao99","2006-05-26","Bandung"
"panggahpradipto","1999-01-02","Jakarta"
"Zah98","1998-01-26","Jakarta"
"Coventry","1984-11-25","Jakarta"
"sandydahana","1989-10-15","Padang"
"premibey","1989-09-15","Denpasar"
"Boy_witanto","1986-08-23","Denpasar"
"Herlinda_Marlina","1993-06-09","Jakarta"
"johanhandoyo","1992-03-18","Malang"
"riansurachman","1996-12-11","Surabaya"
"Kosicki-4","1981-05-25","Denpasar"
"akunhatihati","1986-07-28","Jakarta"
"mademoisherl","1980-10-12","Jakarta"
"vaneetarya","2002-07-13","Pekanbaru"
"aliviasania","1991-05-06","Semarang"
"alfredosh","1983-12-06","Batam"
"damrsetiawan","1979-01-07","Tangerang"
"Boykaaw","1982-08-23","Bogor"
"LDRmuffin","1979-04-03","Yogyakarta"
"kingofpeace19","1995-06-27","Semarang"
"handoyo","1973-08-03","Jakarta"
"anilergun-85269","2004-04-22","Tangerang"
"rayurianti","1977-09-13","Jakarta"
"bawanthadananjaya","2003-04-23","Surabaya"
"estartadesign","1999-03-15","Surabaya"
"ChristianB-3110","1991-02-18","Denpasar"
"snpstaffing","1992-02-02","Surabaya"
"emoticonshirt","1985-03-26","Jakarta"
"ichasounde","1977-05-16","Medan"
"davett-309-10444","1971-12-27","Surabaya"
"tvcarsd","1978-03-07","Semarang"
"Randyzands","1977-05-11","Jakarta"
"satyadananjaya","1980-05-15","Solo"
"rommyrasjid","1990-03-08","Bandung"
"asepyudhistira","1976-01-06","Palembang"
"archiereahalim","1985-10-26","Jakarta"
"dolive-578-564987","1992-12-09","Jakarta"
"videorama-759-859391","1980-01-04","Jakarta"
"americantragedy13","1976-10-18","Jakarta"
"yohanbaktian","1977-05-27","Balikpapan"
"Clockwork-Avacado","1987-06-17","Semarang"
"hakunamatitit","1979-07-27","Denpasar"
"TheSquiss","1973-09-19","Jakarta"
"diazkakimi","2004-06-19","Bekasi"
"radityarara-39901","2004-10-07","Jakarta"
"detikbiz","1983-04-28","Depok"
"roberthusangga","1985-09-06","Bandung"
"nasaandre","2001-05-04","Jakarta"
"keongracun13","1986-03-09","Bandung"
"sovannearythai","1983-11-28","Semarang"
"yantoaldama","1973-05-27","Makassar"
"ddavilart","2000-10-21","Palembang"
"tyaratriadistie","1992-06-18","Malang"
"yasasprasanga","1993-02-01","Bandung"
"meil_cech","1989-09-16","Semarang"
"redtiago","1999-11-04","Makassar"
"khairiaha","1991-05-09","Malang"
"erisaf-2","2001-11-17","Jakarta"
"bayuvevo-16662","1998-08-16","Semarang"
"Muelko","1982-07-04","Makassar"
"m_johnson97","1991-06-23","Depok"
"Quinoa1984","1975-12-15","Surabaya"
"zekecrespo","1995-01-10","Semarang"
"PakistanFilmUpdates","1985-11-22","Jakarta"
"eshwarmail","1987-07-08","Depok"
"adelasukili","1980-06-06","Padang"
"BloodyPredator2","1975-12-16","Jakarta"
"rakaxou","1998-01-14","Bogor"
"ferdifirdaus-resmi","2000-01-24","Bogor"
"katrinaadinda","1986-05-07","Surabaya"
"mnabilq","1985-08-18","Yogyakarta"
"tunggulriddle","1996-07-24","Jakarta"
"TheBigHarsh","1988-01-17","Depok"
"MickeyTheConstant","1977-05-27","Malang"
"ITALUKE","1986-11-02","Medan"
"tserieshijeetega","2000-05-02","Bandung"
"retno_hariyadi","1999-10-07","Malang"
"andrewpetrouap","1978-07-11","Jakarta"
"qdfafai","1998-10-05","Surabaya"
"tea_in_a_cup","1983-12-10","Medan"
"ahin1712","1974-07-24","Malang"
"brentsbulletinboard","2000-06-10","Yogyakarta"
"erma_azam","1974-05-16","Jakarta"
"ryanpersaud-59415","1989-05-12","Jakarta"
"odaleg","1985-06-05","Padang"
"rainerraff-87519","1982-05-04","Depok"
"hz_","1987-12-09","Padang"
"ellyanasyarifah","1998-04-19","Jakarta"
"iwasspock","1992-07-14","Semarang"
"yogie_hoho","1973-04-16","Bandung"
"kuncenganteng","1979-09-21","Bogor"
"bayuvevo-60528","1998-09-10","Padang"
"reyadrafi-50167","1994-08-04","Jakarta"
"anwaralhussaini","1976-03-12","Jakarta"
"scottyxl","1996-10-13","Jakarta"
"marmar-69780","1997-10-16","Bogor"
"view_and_review","1980-10-26","Pekanbaru"
"hscwluux","1979-10-12","Surabaya"
"wahyuredhani","1979-02-17","Jakarta"
"abisio","1978-05-28","Jakarta"
"silver-46069","1978-03-09","Jakarta"
"rieupickups","1983-03-22","Jakarta"
"pandorad-73004","1993-08-12","Surabaya"
"bluedny","2000-12-24","Bandung"
"finalfantasydeva","1982-06-05","Denpasar"
"skiang73","1973-09-27","Bandung"
"ItzelxX_3","1997-05-24","Palembang"
"nestaa-44050","1978-02-11","Depok"
"armhsl","2005-11-08","Bandung"
"MiirrooDK","1991-06-08","Bogor"
"david-161-28390","1998-04-27","Bandung"
"babyneio","1986-06-16","Jakarta"
"handyhernandy","2000-07-14","Surabaya"
"imdbfan-6172844831","2007-09-23","Bekasi"
